Asvi,AsviR,Sexe,Age,Tage,Couple,Vmatri,Diplome,Occupa,Work,statut,Herit,Pere,Mere,Gparp,gparm,Jgrav,Livep,Epalo,fepsal,vmob,livdf,pel,cel,qpep,asdecv,Retrait,Qpea,Urbani,Zeat,Nbenf,Nbenfq,Iogoc,terre,dette,bdetre,hdetvo,ident
AsN,1,Sf,43,T50,CouO,Vcel,Db+5,Oina,WctA,spriv,HerN,PerO,MerO,GppN,gpmO,JgvO,LivN,EplN,fesN,vmoN,ldfN,pelN,celN,qppN,asdN,RepN,QpeN,U5,Zidf,0,Nbe0,Iloc,terN,detN,bemN,hevN,00041
AsO,0,Sh,73,T80,CouN,Vsep,Dcep,Oret,Wemp,spub,HerN,PerN,MerN,GppN,gpmN,JgvO,LivO,EplO,fesN,vmoN,ldfO,pelO,celN,qppN,asdN,RepN,QpeN,U5,Zidf,0,Nbe0,Iloc,terN,detN,bemN,hevN,00042
AsO,0,Sh,45,T50,CouN,Vcel,Db+5,Oact,WctA,spriv,HerN,PerO,MerO,GppN,gpmN,JgvO,LivN,EplN,fesN,vmoN,ldfN,pelN,celN,qppN,asdN,RepN,QpeN,U5,Zidf,0,Nbe0,Iloc,terN,detO,bemN,hevN,00043
AsN,1,Sf,81,T80,CouN,Vsep,Db+5,Oret,WctA,spub,HerN,PerN,MerN,GppN,gpmN,JgvO,LivO,EplN,fesN,vmoN,ldfO,pelN,celN,qppN,asdN,RepN,QpeN,U5,Zidf,2,Nbe2,Iloc,terN,detN,bemN,hevN,00044
AsN,1,Sh,56,T60,CouN,Vcel,Db+5,Oact,WctA,spriv,HerN,PerN,MerN,GppN,gpmN,JgvO,LivO,EplN,fesN,vmoN,ldfO,pelN,celN,qppN,asdN,RepN,QpeN,U5,Zidf,0,Nbe0,Iloc,terN,detN,bemN,hevN,00045
AsN,1,Sh,58,T60,CouO,Vmar,Dtec,Oact,WctC,spriv,HerN,PerN,MerN,GppN,gpmN,JgvO,LivO,EplO,fesN,vmoO,ldfO,pelO,celN,qppN,asdN,RepN,QpeN,U5,Zidf,1,Nbe1,Iloc,terO,detN,bemN,hevN,00046
AsN,1,Sf,48,T50,CouO,Vmar,Dsan,Oact,Wemp,spriv,HerN,PerN,MerN,GppN,gpmN,JgvN,LivO,EplN,fesN,vmoN,ldfO,pelN,celN,qppN,asdN,RepN,QpeN,U5,Zidf,1,Nbe1,Iloc,terO,detN,bemN,hevN,00047
AsN,1,Sh,31,T40,CouN,Vcel,Db+5,Oina,WctA,spriv,HerN,PerN,MerO,GppN,gpmO,JgvN,LivO,EplO,fesN,vmoO,ldfO,pelO,celN,qppN,asdN,RepN,QpeO,U5,Zidf,0,Nbe0,Iloc,terN,detN,bemN,hevN,00048
AsN,1,Sh,57,T60,CouO,Vmar,Db+5,Oact,WctA,spriv,HerO,PerN,MerN,GppN,gpmN,JgvN,LivN,EplN,fesN,vmoO,ldfN,pelN,celN,qppN,asdN,RepO,QpeO,U5,Zidf,1,Nbe1,Iloc,terN,detO,bemN,hevN,00049
AsN,1,Sf,45,T50,CouO,Vmar,Db+2,Oact,Wemp,spriv,HerO,PerO,MerO,GppN,gpmN,JgvO,LivO,EplO,fesN,vmoN,ldfO,pelN,celO,qppN,asdN,RepO,QpeN,U5,Zidf,1,Nbe1,Iloc,terN,detO,bemN,hevN,00050
AsO,0,Sf,75,T80,CouN,Vcel,Dsan,Oret,WctA,spriv,HerN,PerN,MerN,GppN,gpmN,JgvO,LivO,EplO,fesN,vmoO,ldfO,pelO,celN,qppN,asdN,RepN,QpeO,U5,Zidf,0,Nbe0,Ipro,terN,detN,bemN,hevN,00051
AsN,1,Sf,43,T50,CouO,Vmar,Db+2,Oina,Wemp,spriv,HerN,PerN,MerN,GppN,gpmN,JgvN,LivO,EplO,fesN,vmoN,ldfO,pelO,celN,qppN,asdN,RepN,QpeN,U5,Zidf,0,Nbe0,Ipro,terN,detN,bemN,hevN,00052
AsO,0,Sh,44,T50,CouO,Vmar,Dbepc,Oact,WctA,spriv,HerO,PerO,MerO,GppN,gpmN,JgvO,LivO,EplO,fesN,vmoN,ldfO,pelN,celO,qppN,asdN,RepN,QpeN,U5,Zidf,0,Nbe0,Ipro,terN,detN,bemN,hevN,00053
AsN,1,Sf,50,T60,CouO,Vmar,Db+5,Oact,WctA,spub,HerN,PerN,MerO,GppN,gpmN,JgvN,LivO,EplN,fesN,vmoN,ldfO,pelN,celN,qppN,asdN,RepN,QpeN,U5,Zidf,2,Nbe2,Ipro,terN,detO,bemN,hevN,00054
AsN,1,Sf,82,T80,CouN,Vsep,Dbepc,Oret,Wemp,spriv,HerN,PerN,MerN,GppN,gpmN,JgvO,LivN,EplN,fesN,vmoN,ldfN,pelN,celN,qppN,asdN,RepN,QpeN,U5,Zidf,1,Nbe1,Ipro,terN,detN,bemN,hevN,00055
AsO,0,Sh,47,T50,CouO,Vmar,Dbac,Oact,WctA,spriv,HerN,PerO,MerO,GppN,gpmN,JgvO,LivN,EplN,fesN,vmoN,ldfN,pelN,celN,qppO,asdN,RepN,QpeN,U5,Zidf,0,Nbe0,Iloc,terN,detN,bemN,hevN,00056
